Name	WHO Region	Cases - cumulative total	Cases - cumulative total per 100000 population	Cases - newly reported in last 7 days	Cases - newly reported in last 7 days per 100000 population	Cases - newly reported in last 24 hours	Deaths - cumulative total	Deaths - cumulative total per 100000 population	Deaths - newly reported in last 7 days	Deaths - newly reported in last 7 days per 100000 population	Deaths - newly reported in last 24 hours	Transmission Classification
Global	-	170,363,852.000	2,182.386	3,383,026.000	43.337	358,691.000	3,546,870.000	45.436	76,025.000	0.974	7,370.000	
United States of America	Americas	32,929,178.000	9,948.310	131,305.000	39.670	0.000	588,596.000	177.820	3,896.000	1.180	0.000	Community transmission
India	South-East Asia	28,175,044.000	2,041.660	1,226,170.000	88.850	127,510.000	331,895.000	24.050	24,664.000	1.790	2,795.000	Clusters of cases
Brazil	Americas	16,515,120.000	7,769.650	431,862.000	203.170	43,520.000	461,931.000	217.320	12,863.000	6.050	874.000	Community transmission
France	Europe	5,566,214.000	8,558.220	59,437.000	91.390	8,541.000	108,558.000	166.910	756.000	1.160	15.000	Community transmission
Turkey	Europe	5,242,911.000	6,216.470	56,424.000	66.900	6,933.000	47,405.000	56.210	1,137.000	1.350	134.000	Community transmission
Russian Federation	Europe	5,071,917.000	3,475.480	62,006.000	42.490	8,475.000	121,501.000	83.260	2,700.000	1.850	339.000	Clusters of cases
The United Kingdom	Europe	4,484,060.000	6,605.280	21,518.000	31.700	3,111.000	127,781.000	188.230	60.000	0.090	6.000	Community transmission
Italy	Europe	4,216,003.000	7,068.910	23,820.000	39.940	2,948.000	126,046.000	211.340	821.000	1.380	44.000	Clusters of cases
Argentina	Americas	3,753,609.000	8,305.220	214,125.000	473.770	21,346.000	77,456.000	171.380	3,393.000	7.510	348.000	Community transmission
Germany	Europe	3,681,126.000	4,426.200	29,486.000	35.450	1,978.000	88,442.000	106.340	1,019.000	1.230	36.000	Community transmission
Spain	Europe	3,663,176.000	7,739.220	13,502.000	28.530	0.000	79,888.000	168.780	54.000	0.110	0.000	Community transmission
Colombia	Americas	3,383,279.000	6,649.150	150,823.000	296.410	20,218.000	88,282.000	173.500	3,558.000	6.990	535.000	Community transmission
Iran (Islamic Republic of)	Eastern Mediterranean	2,913,136.000	3,468.310	69,613.000	82.880	11,042.000	80,156.000	95.430	1,308.000	1.560	217.000	Community transmission
Poland	Europe	2,872,283.000	7,566.980	6,102.000	16.080	333.000	73,745.000	194.280	800.000	2.110	7.000	Community transmission
Mexico	Americas	2,412,810.000	1,871.370	16,206.000	12.570	1,307.000	223,507.000	173.350	1,860.000	1.440	52.000	Community transmission
Ukraine	Europe	2,202,494.000	5,036.140	18,639.000	42.620	1,022.000	50,536.000	115.550	1,100.000	2.520	64.000	Community transmission
Peru	Americas	1,955,469.000	5,930.720	30,180.000	91.530	3,818.000	69,342.000	210.310	1,289.000	3.910	140.000	Community transmission
Indonesia	South-East Asia	1,821,703.000	666.010	40,576.000	14.830	5,662.000	50,578.000	18.490	1,123.000	0.410	174.000	Community transmission
South Africa	Africa	1,662,825.000	2,803.680	27,360.000	46.130	3,755.000	56,439.000	95.160	637.000	1.070	76.000	Community transmission
Czechia	Europe	1,661,272.000	15,534.710	3,180.000	29.740	113.000	30,108.000	281.540	80.000	0.750	4.000	Community transmission
Netherlands	Europe	1,647,418.000	9,463.790	21,424.000	123.070	2,785.000	17,621.000	101.230	79.000	0.450	6.000	Community transmission
Chile	Americas	1,384,346.000	7,241.740	49,085.000	256.770	6,839.000	29,300.000	153.270	752.000	3.930	132.000	Community transmission
Canada	Americas	1,378,971.000	3,653.660	19,112.000	50.640	2,237.000	25,512.000	67.600	281.000	0.740	34.000	Community transmission
Philippines	Western Pacific	1,230,301.000	1,122.730	45,601.000	41.610	6,684.000	20,966.000	19.130	983.000	0.900	106.000	Community transmission
Iraq	Eastern Mediterranean	1,201,352.000	2,986.770	29,310.000	72.870	4,270.000	16,375.000	40.710	161.000	0.400	24.000	Community transmission
Romania	Europe	1,077,584.000	5,575.010	2,041.000	10.560	158.000	30,276.000	156.640	335.000	1.730	29.000	Community transmission
Sweden	Europe	1,068,473.000	10,345.810	5,922.000	57.340	0.000	14,451.000	139.930	2.000	0.020	0.000	Community transmission
Belgium	Europe	1,061,200.000	9,209.850	10,726.000	93.090	4.000	24,940.000	216.450	85.000	0.740	5.000	Community transmission
Pakistan	Eastern Mediterranean	921,053.000	416.970	17,454.000	7.900	2,117.000	20,779.000	9.410	471.000	0.210	43.000	Community transmission
Portugal	Europe	848,658.000	8,242.670	3,434.000	33.350	445.000	17,023.000	165.340	6.000	0.060	0.000	Clusters of cases
Israel	Europe	839,458.000	9,698.500	133.000	1.540	4.000	6,411.000	74.070	7.000	0.080	3.000	Community transmission
Hungary	Europe	804,538.000	8,235.180	2,866.000	29.340	506.000	29,649.000	303.480	174.000	1.780	25.000	Community transmission
Bangladesh	South-East Asia	800,540.000	486.090	10,019.000	6.080	1,710.000	12,619.000	7.660	218.000	0.130	36.000	Community transmission
Japan	Western Pacific	746,713.000	590.400	24,801.000	19.610	2,226.000	13,048.000	10.320	650.000	0.510	81.000	Clusters of cases
Jordan	Eastern Mediterranean	736,534.000	7,218.700	5,098.000	49.970	723.000	9,462.000	92.740	78.000	0.760	10.000	Community transmission
Serbia	Europe	712,224.000	10,282.290	2,285.000	32.990	178.000	6,854.000	98.950	77.000	1.110	10.000	Community transmission
Switzerland	Europe	689,924.000	7,971.740	3,202.000	37.000	0.000	10,196.000	117.810	8.000	0.090	0.000	Community transmission
Austria	Europe	640,528.000	7,196.080	3,147.000	35.360	366.000	10,339.000	116.150	56.000	0.630	5.000	Community transmission
Malaysia	Western Pacific	572,357.000	1,768.390	53,757.000	166.090	6,824.000	2,796.000	8.640	487.000	1.500	67.000	Community transmission
United Arab Emirates	Eastern Mediterranean	570,836.000	5,771.620	13,217.000	133.630	1,763.000	1,680.000	16.990	26.000	0.260	3.000	Community transmission
Nepal	South-East Asia	561,302.000	1,926.440	40,841.000	140.170	4,178.000	7,386.000	25.350	855.000	2.930	114.000	Community transmission
Lebanon	Eastern Mediterranean	540,388.000	7,917.260	1,720.000	25.200	111.000	7,729.000	113.240	45.000	0.660	6.000	Community transmission
Morocco	Eastern Mediterranean	519,216.000	1,406.690	2,103.000	5.700	108.000	9,147.000	24.780	21.000	0.060	4.000	Community transmission
Saudi Arabia	Eastern Mediterranean	450,436.000	1,293.840	8,365.000	24.030	1,245.000	7,362.000	21.150	98.000	0.280	15.000	Community transmission
Kazakhstan	Europe	441,801.000	2,352.920	10,513.000	55.990	0.000	7,321.000	38.990	172.000	0.920	0.000	Clusters of cases
Ecuador	Americas	425,841.000	2,413.650	6,643.000	37.650	0.000	20,545.000	116.450	335.000	1.900	0.000	Community transmission
Bulgaria	Europe	418,274.000	6,017.050	1,628.000	23.420	53.000	17,662.000	254.080	166.000	2.390	5.000	Clusters of cases
Greece	Europe	401,301.000	3,743.980	11,497.000	107.260	906.000	12,054.000	112.460	282.000	2.630	30.000	Community transmission
Belarus	Europe	393,807.000	4,167.570	7,782.000	82.360	2,170.000	2,841.000	30.070	70.000	0.740	20.000	Community transmission
Slovakia	Europe	389,721.000	7,140.530	867.000	15.890	31.000	12,343.000	226.150	47.000	0.860	4.000	Clusters of cases
Panama	Americas	377,776.000	8,755.420	3,655.000	84.710	348.000	6,370.000	147.630	39.000	0.900	1.000	Community transmission
Bolivia (Plurinational State of)	Americas	368,474.000	3,156.630	18,821.000	161.240	1,760.000	14,471.000	123.970	506.000	4.330	36.000	Community transmission
Croatia	Europe	356,141.000	8,775.910	2,155.000	53.100	0.000	8,014.000	197.480	111.000	2.740	0.000	Community transmission
Paraguay	Americas	352,688.000	4,944.780	19,717.000	276.440	2,075.000	9,083.000	127.350	723.000	10.140	96.000	Community transmission
Tunisia	Eastern Mediterranean	345,474.000	2,923.130	9,060.000	76.660	786.000	12,654.000	107.070	381.000	3.220	31.000	Community transmission
Georgia	Europe	343,963.000	8,622.410	6,002.000	150.460	360.000	4,773.000	119.650	134.000	3.360	16.000	Community transmission
occupied Palestinian territory-including east Jerusalem-Eastern Mediterranean	including east Jerusalem	337,191.000	6,609.760	2,572.000	50.420	302.000	3,765.000	73.800	27.000	0.530	2	Community transmission
Azerbaijan	Europe	333,864.000	3,292.810	1,410.000	13.910	141.000	4,907.000	48.400	47.000	0.460	4.000	Clusters of cases
Costa Rica	Americas	317,845.000	6,239.450	14,455.000	283.760	1,405.000	4,022.000	78.950	202.000	3.970	29.000	Community transmission
Kuwait	Eastern Mediterranean	309,222.000	7,240.760	8,767.000	205.290	1,410.000	1,772.000	41.490	31.000	0.730	1.000	Community transmission
Dominican Republic	Americas	292,786.000	2,699.010	8,219.000	75.770	876.000	3,628.000	33.440	18.000	0.170	0.000	Community transmission
Uruguay	Americas	291,488.000	8,391.210	26,390.000	759.700	3,316.000	4,213.000	121.280	342.000	9.850	37.000	Community transmission
Denmark	Europe	280,383.000	4,815.290	6,889.000	118.310	949.000	2,516.000	43.210	8.000	0.140	0.000	Community transmission
Lithuania	Europe	274,199.000	9,813.530	3,069.000	109.840	0.000	4,257.000	152.360	62.000	2.220	0.000	Community transmission
Ethiopia	Africa	271,345.000	236.030	2,151.000	1.870	145.000	4,155.000	3.610	79.000	0.070	12.000	Community transmission
Egypt	Eastern Mediterranean	262,650.000	256.660	7,666.000	7.490	984.000	15,096.000	14.750	330.000	0.320	49.000	Clusters of cases
Ireland	Europe	261,157.000	5,260.550	2,554.000	51.450	0.000	4,941.000	99.530	0.000	0.000	0.000	Community transmission
Republic of Moldova	Europe	255,145.000	6,324.920	469.000	11.630	40.000	6,104.000	151.320	29.000	0.720	4.000	Community transmission
Guatemala	Americas	254,417.000	1,420.090	6,773.000	37.810	192.000	8,165.000	45.570	156.000	0.870	28.000	Community transmission
Slovenia	Europe	253,631.000	12,101.520	1,945.000	92.800	135.000	4,693.000	223.920	8.000	0.380	1.000	Clusters of cases
Bahrain	Eastern Mediterranean	240,532.000	14,135.840	19,685.000	1,156.870	2,375.000	980.000	57.590	132.000	7.760	27.000	Community transmission
Honduras	Americas	237,581.000	2,398.690	4,909.000	49.560	629.000	6,316.000	63.770	170.000	1.720	20.000	Community transmission
Venezuela (Bolivarian Republic of)	Americas	232,800.000	818.680	9,455.000	33.250	1,357.000	2,629.000	9.250	116.000	0.410	14.000	Community transmission
Armenia	Europe	222,670.000	7,514.430	688.000	23.220	34.000	4,438.000	149.770	44.000	1.480	6.000	Community transmission
Qatar	Eastern Mediterranean	217,458.000	7,547.870	1,716.000	59.560	228.000	556.000	19.300	9.000	0.310	2.000	Community transmission
Oman	Eastern Mediterranean	217,224.000	4,253.770	6,003.000	117.550	1,041.000	2,345.000	45.920	71.000	1.390	11.000	Community transmission
Bosnia and Herzegovina	Europe	203,978.000	6,217.300	642.000	19.570	40.000	9,233.000	281.420	102.000	3.110	11.000	Community transmission
Sri Lanka	South-East Asia	186,364.000	870.320	19,192.000	89.630	2,912.000	1,484.000	6.930	241.000	1.130	43.000	Clusters of cases
Libya	Eastern Mediterranean	185,776.000	2,703.650	2,184.000	31.780	595.000	3,126.000	45.490	14.000	0.200	1.000	Community transmission
Kenya	Africa	170,647.000	317.360	2,215.000	4.120	162.000	3,157.000	5.870	98.000	0.180	16.000	Community transmission
Nigeria	Africa	166,315.000	80.680	296.000	0.140	30.000	2,071.000	1.000	4.000	0.000	0.000	Community transmission
Thailand	South-East Asia	162,022.000	232.120	26,583.000	38.080	2,230.000	1,069.000	1.530	237.000	0.340	38.000	Clusters of cases
North Macedonia	Europe	155,269.000	7,452.750	206.000	9.890	23.000	5,408.000	259.580	97.000	4.660	10.000	Clusters of cases
Myanmar	South-East Asia	143,629.000	263.980	367.000	0.670	58.000	3,217.000	5.910	1.000	0.000	1.000	Clusters of cases
Cuba	Americas	142,266.000	1,256.030	8,058.000	71.140	1,100.000	958.000	8.460	68.000	0.600	8.000	Community transmission
Republic of Korea	Western Pacific	140,799.000	274.630	3,824.000	7.460	459.000	1,963.000	3.830	25.000	0.050	4.000	Clusters of cases
Puerto Rico	Americas	138,690.000	4,847.850	690.000	24.120	111.000	2,502.000	87.460	28.000	0.980	1.000	Community transmission
Latvia	Europe	133,098.000	6,976.970	2,153.000	112.860	180.000	2,370.000	124.230	44.000	2.310	0.000	Community transmission
Albania	Europe	132,309.000	4,597.570	100.000	3.470	12.000	2,450.000	85.130	6.000	0.210	1.000	Clusters of cases
